block,task,position,purpose_tag,alt,price,eta_min,late_in_10,restaurants,refund
1,t1,1,price_vs_eta,A,235,45,1,some,auto_24h
1,t1,1,price_vs_eta,B,285,25,1,some,auto_24h
1,t2,2,price_vs_reliability,A,285,35,1,most,case_by_case
1,t2,2,price_vs_reliability,B,260,35,3,most,case_by_case
1,t3,3,price_vs_assortment,A,235,35,1,few,auto_24h
1,t3,3,price_vs_assortment,B,285,35,1,most,auto_24h
1,dom,4,dominance_check,A,260,35,1,most,auto_24h
1,dom,4,dominance_check,B,285,45,3,some,case_by_case
1,t4,5,price_vs_reliability,A,310,45,1,some,case_by_case
1,t4,5,price_vs_reliability,B,235,45,3,some,case_by_case
1,t5,6,price_vs_refund,A,260,35,1,some,case_by_case
1,t5,6,price_vs_refund,B,285,35,1,some,auto_24h
1,t6,7,multi,A,310,25,3,some,auto_24h
1,t6,7,multi,B,260,55,1,most,case_by_case
2,t1,1,price_vs_eta,A,310,35,1,most,auto_24h
2,t1,1,price_vs_eta,B,235,55,1,most,auto_24h
2,t2,2,price_vs_reliability,A,235,25,3,some,auto_24h
2,t2,2,price_vs_reliability,B,260,25,1,some,auto_24h
2,t3,3,price_vs_assortment,A,285,45,1,most,case_by_case
2,t3,3,price_vs_assortment,B,260,45,1,some,case_by_case
2,dom,4,dominance_check,A,260,35,1,most,auto_24h
2,dom,4,dominance_check,B,285,45,3,some,case_by_case
2,t4,5,price_vs_reliability,A,260,45,3,few,case_by_case
2,t4,5,price_vs_reliability,B,310,45,1,few,case_by_case
2,t5,6,price_vs_refund,A,285,55,1,most,auto_24h
2,t5,6,price_vs_refund,B,235,55,1,most,case_by_case
2,t6,7,multi,A,235,45,1,most,case_by_case
2,t6,7,multi,B,285,25,3,few,auto_24h
