capture_ts,slot,auditor_id,drop_point_id,platform,account_state,subscription_active,restaurant_name,restaurant_listed,restaurant_open,basket_id,item_list,item_match_quality,menu_subtotal,packaging_fee,platform_fee,delivery_fee,small_cart_fee,surge_rain_fee,taxes_gst,discount_amount,discount_type,final_payable,eta_min_shown,eta_max_shown,screenshot_file,notes
19:45,wed_dinner,A,DP1,ownly,new,NA,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,299,0,0,0,0,0,14.95,50,auto offer,263.95,44,49,DP1_wed_dinner_ownly_R1.png,groupA
19:45,wed_dinner,A,DP1,ownly,new,NA,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,299,0,0,0,0,0,14.95,0,none,313.95,44,49,DP1_wed_dinner_ownly_R1.png,groupA
19:45,wed_dinner,A,DP1,swiggy,existing,y,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,375,0,0,0,0,0,54.76,242,auto offer,187.76,20,25,DP1_wed_dinner_swiggy_R1.png,groupA
19:45,wed_dinner,A,DP1,swiggy,existing,y,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,375,0,0,42,0,0,54.76,0,none,471.76,20,25,DP1_wed_dinner_swiggy_R1.png,groupA
19:45,wed_dinner,A,DP1,zomato,existing,y,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,375,28.88,14.99,0,0,0,22.89,0,none,441.76,25,30,DP1_wed_dinner_zomato_R1.png,groupA
19:45,wed_dinner,A,DP1,zomato,existing,y,Paradise Biryani,y,y,B1,Special Veg Dum Biryani (serves 1-2),Exact,375,28.88,14.99,43,0,0,22.89,0,none,484.76,25,30,DP1_wed_dinner_zomato_R1.png,groupA
22:00,wed_dinner,A,DP1,ownly,new,NA,Bawarchi,y,y,B1,Veg Biryani,Exact,196,0,0,0,0,0,9.8,50,auto offer,155.8,36,41,DP1_wed_dinner_ownly_R2.png,groupA
22:00,wed_dinner,A,DP1,ownly,new,NA,Bawarchi,y,y,B1,Veg Biryani,Exact,196,0,0,0,0,0,9.8,0,none,205.8,36,41,DP1_wed_dinner_ownly_R2.png,groupA
22:00,wed_dinner,A,DP1,swiggy,existing,y,Bawarchi,y,y,B1,Veg Biryani,Exact,179,0,0,0,0,0,22.57,156.35,auto offer coupon,45,20,25,DP1_wed_dinner_swiggy_R2.png,groupA
22:00,wed_dinner,A,DP1,swiggy,existing,y,Bawarchi,y,y,B1,Veg Biryani,Exact,179,0,0,48,0,0,22.57,0,none,249.35,20,25,DP1_wed_dinner_swiggy_R2.png,groupA
22:00,wed_dinner,A,DP1,zomato,existing,y,Bawarchi,y,y,B1,Veg Biryani,Exact,179,0,14.99,0,0,0,11.65,0,none,205.64,15,20,DP1_wed_dinner_zomato_R2.png,groupA
22:00,wed_dinner,A,DP1,zomato,existing,y,Bawarchi,y,y,B1,Veg Biryani,Exact,179,0,14.99,42,0,0,11.65,0,none,247.64,15,20,DP1_wed_dinner_zomato_R2.png,groupA
19:45,wed_dinner,A,DP1,ownly,new,NA,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,179,0,0,0,0,0,8.95,50,auto offer,137.95,30,30,DP1_wed_dinner_ownly_R3.png,groupA
19:45,wed_dinner,A,DP1,ownly,new,NA,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,179,0,0,0,0,0,8.95,0,none,187.95,30,30,DP1_wed_dinner_ownly_R3.png,groupA
19:45,wed_dinner,A,DP1,swiggy,existing,y,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,189,0,0,0,0,0,47.3,77.8,auto offer,158,10,15,DP1_wed_dinner_swiggy_R3.png,groupA
19:45,wed_dinner,A,DP1,swiggy,existing,y,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,189,0,0,42,0,0,47.3,0,none,277.8,10,15,DP1_wed_dinner_swiggy_R3.png,groupA
19:45,wed_dinner,A,DP1,zomato,existing,y,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,189,0,14.99,0,0,0,12.15,0,none,216.14,15,20,DP1_wed_dinner_zomato_R3.png,groupA
19:45,wed_dinner,A,DP1,zomato,existing,y,Cream Stone,y,y,B2,Nutella brownie blast milk,Exact,189,0,14.99,43,0,0,12.15,0,none,259.14,15,20,DP1_wed_dinner_zomato_R3.png,groupA
19:45,wed_dinner,A,DP1,ownly,new,NA,Shah Ghouse,y,y,B1,Veg Briyani,,150,0,0,0,0,0,7.5,50,auto offer,107.5,38,43,DP1_wed_dinner_ownly_R4.png,groupA
19:45,wed_dinner,A,DP1,ownly,new,NA,Shah Ghouse,y,y,B1,Veg Briyani,,150,0,0,0,0,0,7.5,0,none,157.5,38,43,DP1_wed_dinner_ownly_R4.png,groupA
