ID,Screen,Claim,Shown_as,Numerator,Denominator,Value,CI_low,CI_high,Sample_check,Method,Source_file,Type
B1,2 Hyderabad users,Hold Swiggy One and/or Zomato Gold,82.5%,33,40,82.5,68.0,91.3,OK,has_membership = True / catchment,final_dashboard/data/cleaned_survey.csv,Computed
B2,2 Hyderabad users,Hold BOTH memberships,47.5%,19,40,47.5,32.9,62.5,OK,memberships contains both / catchment,final_dashboard/data/cleaned_survey.csv,Computed
B3,2 Hyderabad users,Use two or more delivery apps,57.5%,23,40,57.5,42.2,71.5,OK,multihoming = True / catchment,final_dashboard/data/cleaned_survey.csv,Computed
B4-Swiggy,2 Hyderabad users,Share of last-4-week orders placed on Swiggy,54.6%,,40,54.6,,,OK,"sum(n_swiggy) / sum(all orders), catchment; 326 orders",final_dashboard/data/cleaned_survey.csv,Computed
B4-Zomato,2 Hyderabad users,Share of last-4-week orders placed on Zomato,36.8%,,40,36.8,,,OK,"sum(n_zomato) / sum(all orders), catchment; 326 orders",final_dashboard/data/cleaned_survey.csv,Computed
B4-Ownly,2 Hyderabad users,Share of last-4-week orders placed on Ownly,0%,,40,0.0,,,OK,"sum(n_ownly) / sum(all orders), catchment; 326 orders",final_dashboard/data/cleaned_survey.csv,Computed
B4-Other,2 Hyderabad users,Share of last-4-week orders placed on Other,8.6%,,40,8.6,,,OK,"sum(n_other) / sum(all orders), catchment; 326 orders",final_dashboard/data/cleaned_survey.csv,Computed
B5,2 Hyderabad users,Last bill felt unfair because of the extra charges,38.9%,14,36,38.9,24.8,55.1,OK,bill_fairness = 'extra charges on top were too much' / answered,final_dashboard/data/cleaned_survey.csv,Computed
B6,2 Hyderabad users,Students in the sample,80%,32,40,80.0,65.2,89.5,OK,occupation starts 'Student' / catchment,final_dashboard/data/cleaned_survey.csv,Computed
B7,2 Hyderabad users,Aged 20-24,77.5%,31,40,77.5,62.5,87.7,OK,age_band = 20-24 / catchment,final_dashboard/data/cleaned_survey.csv,Computed
B8,2 Hyderabad users,Median saving per order needed to switch apps (Rs),30 Rs,,33,30.0,,,OK,median(switch_savings_rs) among those who named a figure,final_dashboard/data/cleaned_survey.csv,Computed
B9,2 Hyderabad users,Said no saving would make them switch,4,,40,4,,,OK,switch_never = True (count),final_dashboard/data/cleaned_survey.csv,Computed
K1,3 KPIs,Awareness: heard of Ownly,42.5%,17,40,42.5,28.5,57.8,OK,ownly_aware = True / catchment,final_dashboard/data/cleaned_survey.csv,Computed
K2,3 KPIs,Browse: opened Ownly,17.5%,7,40,17.5,8.7,32.0,OK,ownly_opened = True / catchment,final_dashboard/data/cleaned_survey.csv,Computed
K3,3 KPIs,Trial: ordered on Ownly,5%,2,40,5.0,1.4,16.5,OK,ownly_says_ordered = True / catchment,final_dashboard/data/cleaned_survey.csv,Computed
K4,3 KPIs,"Use Rapido (any frequency, last 4 weeks)",60%,24,40,60.0,44.6,73.7,OK,"rapido_freq not in (Never, blank) / catchment",final_dashboard/data/cleaned_survey.csv,Computed
K5,3 KPIs,Noticed food inside the Rapido app,15.2%,5,33,15.2,6.7,30.9,OK,rapido_food_seen = Yes / (Yes + No + Not sure),final_dashboard/data/cleaned_survey.csv,Computed
K6,3 KPIs,Expect a new app's low prices to rise,87.5%,35,40,87.5,73.9,94.5,OK,durability_doubt_n >= 4 (agree) / catchment,final_dashboard/data/cleaned_survey.csv,Computed
K7,3 KPIs,Would keep ordering after the Rs100 offer ends,25%,10,40,25.0,14.2,40.2,OK,repeat_no_promo_n >= 4 (likely) / catchment,final_dashboard/data/cleaned_survey.csv,Computed
K8,3 KPIs,Aware of Ownly - Rapido users,33.3%,8,24,33.3,18.0,53.3,Small - directional,ownly_aware among Rapido users,final_dashboard/data/cleaned_survey.csv,Computed
K9,3 KPIs,Aware of Ownly - non-Rapido users,56.2%,9,16,56.2,33.2,76.9,Small - directional,ownly_aware among non-users,final_dashboard/data/cleaned_survey.csv,Computed
C-Ben-Heard ,1 Problem,Bengaluru: Heard of Ownly,75%,12,16,75.0,50.5,89.8,Small - directional,Heard of Ownly / Bengaluru sample,final_dashboard/data/cleaned_survey.csv,Computed
C-Gac-Heard ,1 Problem,Gachibowli: Heard of Ownly,42.5%,17,40,42.5,28.5,57.8,OK,Heard of Ownly / Gachibowli sample,final_dashboard/data/cleaned_survey.csv,Computed
