date,channel,campaign_type,region,impressions,clicks,ctr_pct,spend_usd,qualified_leads,conversions,conversion_rate_pct,revenue_usd,roas,cpa_usd
2024-01-01,Google Ads,Conversion,South,228518,3120,1.37,3057.47,207,428,13.72,166518.65,54.46,7.14
2024-01-01,LinkedIn,Retention,South,109946,4791,4.36,12715.17,118,94,1.96,7828.43,0.62,135.27
2024-01-01,Email,Conversion,North,180481,9113,5.05,13652.54,650,665,7.3,199547.68,14.62,20.53
2024-01-02,Display,Consideration,West,68878,1884,2.74,5282.53,225,95,5.04,9980.29,1.89,55.61
2024-01-02,Email,Conversion,West,10075,305,3.03,766.85,6,34,11.15,2595.39,3.38,22.55
2024-01-02,Meta Ads,Consideration,West,92969,746,0.8,1584.16,52,50,6.7,13246.2,8.36,31.68
2024-01-04,Google Ads,Retention,South,228563,17220,7.53,34941.07,3076,671,3.9,171023.15,4.89,52.07
2024-01-04,Display,Consideration,West,105127,3195,3.04,4301.22,405,66,2.07,2076.7,0.48,65.17
2024-01-05,Organic Social,Consideration,East,196420,7578,3.86,16806.59,980,258,3.4,87655.48,5.22,65.14
2024-01-05,Google Ads,Retention,South,160914,9476,5.89,26898.33,877,1047,11.05,202006.57,7.51,25.69
2024-01-05,Referral,Conversion,North,137453,3785,2.75,8386.53,536,205,5.42,58969.09,7.03,40.91
2024-01-05,Meta Ads,Consideration,North,22071,928,4.2,1055.22,50,107,11.53,12586.87,11.93,9.86
2024-01-06,Referral,Retention,West,218397,16449,7.53,56290.23,2753,824,5.01,248814.77,4.42,68.31
2024-01-07,Meta Ads,Retention,West,137379,8851,6.44,25867.95,362,899,10.16,168933.28,6.53,28.77
2024-01-08,Email,Conversion,North,57887,1298,2.24,1670.39,179,94,7.24,32073.71,19.2,17.77
2024-01-09,Display,Conversion,East,231058,13649,5.91,40455.15,1111,1249,9.15,488548.63,12.08,32.39
2024-01-09,Organic Search,Consideration,West,182912,7573,4.14,14702.68,1170,227,3.0,61033.6,4.15,64.77
2024-01-09,Meta Ads,Consideration,South,215294,5641,2.62,8418.18,671,516,9.15,73985.97,8.79,16.31
2024-01-10,Organic Search,Conversion,South,26281,2055,7.82,5342.96,208,97,4.72,25284.25,4.73,55.08
2024-01-10,Organic Social,Conversion,South,15516,951,6.13,1854.87,48,41,4.31,9121.35,4.92,45.24
2024-01-12,LinkedIn,Awareness,West,123325,3173,2.57,5046.05,427,284,8.95,33551.05,6.65,17.77
2024-01-12,Referral,Consideration,South,45379,3164,6.97,7129.73,618,169,5.34,61536.33,8.63,42.19
2024-01-13,LinkedIn,Consideration,South,22543,462,2.05,117.52,77,16,3.46,4562.33,38.82,7.34
2024-01-13,Display,Retention,South,166475,2474,1.49,4393.66,76,188,7.6,11508.84,2.62,23.37
2024-01-13,Referral,Retention,West,25095,1447,5.77,4229.74,126,178,12.3,43106.22,10.19,23.76
2024-01-14,Organic Social,Retention,South,126673,6228,4.92,21565.67,1162,821,13.18,126059.55,5.85,26.27
2024-01-14,Google Ads,Conversion,West,161590,8093,5.01,19274.98,894,1057,13.06,278046.8,14.43,18.24
2024-01-15,Meta Ads,Conversion,North,187650,2850,1.52,5977.91,396,305,10.7,79255.41,13.26,19.6
2024-01-15,Google Ads,Consideration,South,10906,593,5.44,1396.18,109,11,1.85,748.27,0.54,126.93
2024-01-16,LinkedIn,Conversion,South,153930,3081,2.0,10198.49,546,152,4.93,32745.39,3.21,67.1
2024-01-17,Referral,Retention,South,69046,1782,2.58,1172.71,196,187,10.49,46081.37,39.29,6.27
2024-01-18,Organic Search,Retention,West,178824,7225,4.04,19691.35,713,197,2.73,33980.39,1.73,99.96
2024-01-19,Meta Ads,Consideration,North,100071,3789,3.79,1574.97,307,252,6.65,80697.98,51.24,6.25
2024-01-19,Meta Ads,Conversion,East,178333,5881,3.3,1931.07,878,447,7.6,83123.73,43.05,4.32
2024-01-20,LinkedIn,Awareness,West,45510,1854,4.07,4867.42,132,220,11.87,59506.1,12.23,22.12
2024-01-20,Organic Search,Retention,East,101038,856,0.85,1114.87,55,63,7.36,9553.4,8.57,17.7
2024-01-21,Organic Social,Consideration,North,184017,13932,7.57,14929.46,1172,660,4.74,142154.03,9.52,22.62
2024-01-21,LinkedIn,Retention,East,55601,1414,2.54,2171.98,73,55,3.89,10538.02,4.85,39.49
2024-01-22,Meta Ads,Retention,East,96006,4405,4.59,8457.67,639,156,3.54,49948.14,5.91,54.22
2024-01-22,Organic Social,Conversion,South,215223,3232,1.5,2523.69,423,194,6.0,34507.45,13.67,13.01
2024-01-23,Display,Consideration,North,12461,538,4.32,651.47,57,42,7.81,2889.15,4.43,15.51
2024-01-25,Meta Ads,Awareness,West,87302,4373,5.01,6993.11,394,103,2.36,20144.23,2.88,67.89
2024-01-26,Organic Search,Consideration,West,91716,5171,5.64,3843.45,949,503,9.73,34867.15,9.07,7.64
2024-01-27,Display,Conversion,East,232208,17933,7.72,20787.47,452,1229,6.85,470371.55,22.63,16.91
2024-01-28,Meta Ads,Conversion,West,15503,610,3.93,273.24,96,44,7.21,15550.5,56.91,6.21
2024-01-28,Display,Retention,North,102756,4867,4.74,1456.81,887,61,1.25,19691.06,13.52,23.88
2024-01-28,Display,Conversion,South,215129,7646,3.55,16811.95,767,577,7.55,72595.71,4.32,29.14
2024-01-29,Organic Social,Awareness,South,31421,2439,7.76,6608.38,290,66,2.71,15381.2,2.33,100.13
2024-01-29,Referral,Awareness,West,31170,385,1.24,851.75,73,32,8.31,3538.14,4.15,26.62
2024-02-02,Organic Social,Awareness,East,70087,5135,7.33,10730.78,298,495,9.64,41929.17,3.91,21.68
2024-02-02,Organic Search,Consideration,West,85257,5218,6.12,12804.29,592,152,2.91,17106.38,1.34,84.24
2024-02-02,Email,Retention,North,244511,12086,4.94,25793.05,1274,1709,14.14,109081.57,4.23,15.09
2024-02-04,Organic Search,Awareness,West,153066,4026,2.63,3616.93,267,43,1.07,4304.05,1.19,84.11
2024-02-04,Google Ads,Awareness,East,99333,6025,6.07,5376.27,1008,493,8.18,135987.54,25.29,10.91
2024-02-04,Google Ads,Conversion,South,142653,9878,6.92,26030.43,1797,1276,12.92,77839.39,2.99,20.4
2024-02-04,Organic Social,Retention,North,177232,1528,0.86,1199.51,245,78,5.1,27112.54,22.6,15.38
2024-02-04,Organic Search,Conversion,North,114472,5911,5.16,11870.82,326,531,8.98,116770.29,9.84,22.36
2024-02-05,Organic Search,Consideration,West,215746,13053,6.05,16626.7,464,1933,14.81,418393.63,25.16,8.6
2024-02-05,Referral,Consideration,South,13438,775,5.77,2367.77,99,11,1.42,648.69,0.27,215.25
2024-02-05,LinkedIn,Consideration,North,249576,5825,2.33,10241.61,176,696,11.95,97747.94,9.54,14.71
2024-02-06,LinkedIn,Consideration,North,244141,6297,2.58,4073.29,888,683,10.85,226452.52,55.59,5.96
2024-02-06,Google Ads,Awareness,North,13036,884,6.78,1156.69,102,15,1.7,2349.13,2.03,77.11
2024-02-06,Meta Ads,Conversion,North,16002,1160,7.25,1950.96,161,12,1.03,3534.15,1.81,162.58
2024-02-07,Email,Awareness,East,179018,10534,5.88,11513.79,1329,309,2.93,66735.7,5.8,37.26
2024-02-08,Meta Ads,Consideration,North,104931,6492,6.19,13079.72,623,147,2.26,18383.57,1.41,88.98
2024-02-08,Organic Search,Awareness,North,199387,11698,5.87,13867.41,656,634,5.42,142822.43,10.3,21.87
2024-02-08,Referral,Retention,West,210950,1888,0.89,4472.06,141,243,12.87,78224.06,17.49,18.4
2024-02-08,Email,Conversion,South,240037,15295,6.37,5963.83,1749,1706,11.15,505216.93,84.71,3.5
2024-02-08,Organic Social,Retention,North,214477,7928,3.7,17893.26,1088,82,1.03,17414.47,0.97,218.21
2024-02-10,Organic Social,Retention,North,162462,10447,6.43,9396.91,1674,1365,13.07,432147.63,45.99,6.88
2024-02-10,Google Ads,Retention,South,131439,9492,7.22,13529.45,1500,920,9.69,318531.38,23.54,14.71
2024-02-10,LinkedIn,Consideration,South,42991,580,1.35,1312.98,113,48,8.28,9570.62,7.29,27.35
2024-02-11,Google Ads,Retention,South,130576,8348,6.39,6894.41,596,914,10.95,173170.08,25.12,7.54
2024-02-11,Organic Social,Conversion,East,86532,5837,6.75,1693.36,191,754,12.92,163090.2,96.31,2.25
2024-02-12,Meta Ads,Consideration,East,220598,14042,6.37,24142.15,1154,574,4.09,117673.74,4.87,42.06
2024-02-13,Organic Social,Conversion,South,46862,3662,7.81,6385.96,563,483,13.19,136942.35,21.44,13.22
2024-02-13,Referral,Awareness,West,145659,5974,4.1,3548.69,590,117,1.96,16477.79,4.64,30.33
2024-02-13,LinkedIn,Awareness,East,208127,11171,5.37,16436.63,1867,1456,13.03,413749.09,25.17,11.29
2024-02-13,Email,Awareness,West,180251,13789,7.65,47625.38,1639,443,3.21,98471.57,2.07,107.51
2024-02-14,Meta Ads,Consideration,East,160289,12235,7.63,26265.07,2292,1038,8.48,135385.74,5.15,25.3
2024-02-15,Display,Consideration,East,132795,2892,2.18,8269.0,551,77,2.66,28931.63,3.5,107.39
2024-02-15,Display,Conversion,North,143367,2328,1.62,3059.27,75,185,7.95,30155.35,9.86,16.54
2024-02-16,Referral,Consideration,East,191470,8335,4.35,27121.53,851,960,11.52,341430.96,12.59,28.25
2024-02-16,Meta Ads,Retention,North,73026,3944,5.4,13017.81,511,517,13.11,118821.77,9.13,25.18
2024-02-16,Email,Awareness,North,215000,5922,2.75,14446.9,391,254,4.29,20894.08,1.45,56.88
