Split,Group,Term,TF-IDF,Document frequency,Rank
By audience,Bengaluru local,ordering,5.1707,12,1
By audience,Bengaluru local,cheaper,4.9973,6,2
By audience,Bengaluru local,thank,4.9017,3,3
By audience,Bengaluru local,happened,4.4576,14,4
By audience,Bengaluru local,like,4.2464,20,5
By audience,Bengaluru local,try,4.026,12,6
By audience,Bengaluru local,kind,3.9576,2,7
By audience,Bengaluru local,ordered,3.4073,19,8
By audience,Bengaluru local,refund,3.3692,10,9
By audience,Bengaluru local,juice,3.3262,3,10
By audience,Bengaluru local,best,3.2041,4,11
By audience,Bengaluru local,good,3.1677,17,12
By audience,Incumbent app community,available,11.402,13,1
By audience,Incumbent app community,toing,9.221,18,2
By audience,Incumbent app community,first,5.8578,7,3
By audience,Incumbent app community,pricing,5.7906,5,4
By audience,Incumbent app community,fee,5.2082,15,5
By audience,Incumbent app community,like,5.1849,18,6
By audience,Incumbent app community,bengaluru,5.0863,3,7
By audience,Incumbent app community,city,4.8127,4,8
By audience,Incumbent app community,time,4.6969,17,9
By audience,Incumbent app community,fees,4.6402,17,10
By audience,Incumbent app community,prices,4.2653,16,11
By audience,Incumbent app community,use,4.1737,8,12
By audience,Professional / LinkedIn,model,1.3029,6,1
By audience,Professional / LinkedIn,sustainable,1.201,3,2
By audience,Professional / LinkedIn,zero,1.1219,12,3
By audience,Professional / LinkedIn,commission,1.1014,12,4
By audience,Professional / LinkedIn,customers,1.0253,4,5
By audience,Professional / LinkedIn,pricing,1.0234,9,6
By audience,Professional / LinkedIn,platform,0.9498,7,7
By audience,Professional / LinkedIn,restaurant,0.9007,7,8
By audience,Professional / LinkedIn,like,0.8287,4,9
By audience,Professional / LinkedIn,first,0.8239,5,10
By audience,Professional / LinkedIn,restaurants,0.8213,6,11
By audience,Professional / LinkedIn,meals,0.8186,6,12
By audience,YouTube audience,restaurant,4.6797,22,1
By audience,YouTube audience,confident,4.5686,2,2
By audience,YouTube audience,business,4.0188,7,3
By audience,YouTube audience,good,3.9981,16,4
By audience,YouTube audience,ondc,3.886,10,5
By audience,YouTube audience,company,3.8431,12,6
By audience,YouTube audience,know,3.7582,12,7
By audience,YouTube audience,still,3.5878,9,8
By audience,YouTube audience,market,3.5251,12,9
By audience,YouTube audience,video,3.4347,9,10
By audience,YouTube audience,another,3.4342,5,11
By audience,YouTube audience,background,3.3001,5,12
By audience,App-store reviewer,refund,0.6836,14,1
By audience,App-store reviewer,support,0.6601,19,2
By audience,App-store reviewer,customer,0.5969,20,3
By audience,App-store reviewer,time,0.4963,13,4
By audience,App-store reviewer,experience,0.4825,13,5
By audience,App-store reviewer,service,0.4749,9,6
By audience,App-store reviewer,payment,0.4696,5,7
By audience,App-store reviewer,need,0.4607,3,8
By audience,App-store reviewer,delivering,0.4559,3,9
By audience,App-store reviewer,house,0.4444,2,10
By audience,App-store reviewer,action,0.4438,2,11
By audience,App-store reviewer,ordered,0.4045,10,12
By YouTube phase,pre-launch,confident,4.2598,2,1
By YouTube phase,pre-launch,restaurant,4.0167,21,2
By YouTube phase,pre-launch,good,3.2364,13,3
By YouTube phase,pre-launch,background,3.0396,5,4
By YouTube phase,pre-launch,business,3.0197,6,5
By YouTube phase,pre-launch,zerodha,2.8854,3,6
By YouTube phase,pre-launch,ondc,2.7177,8,7
By YouTube phase,pre-launch,another,2.6146,4,8
By YouTube phase,pre-launch,know,2.6127,9,9
By YouTube phase,pre-launch,customer,2.5671,21,10
By YouTube phase,pre-launch,banned,2.5561,7,11
By YouTube phase,pre-launch,company,2.5425,9,12
By YouTube phase,post-launch,available,2.2181,3,1
By YouTube phase,post-launch,toing,2.0297,2,2
By YouTube phase,post-launch,commissions,2.0297,2,3
By YouTube phase,post-launch,video,1.9649,5,4
By YouTube phase,post-launch,menu,1.8267,2,5
By YouTube phase,post-launch,yes,1.8267,2,6
By YouTube phase,post-launch,'toing',1.776,2,7
By YouTube phase,post-launch,riders,1.6482,5,8
By YouTube phase,post-launch,time,1.6395,6,9
By YouTube phase,post-launch,still,1.5817,4,10
By YouTube phase,post-launch,market,1.5223,2,11
By YouTube phase,post-launch,launch,1.5223,2,12
