Phase,Theme,Mentions,Share of mentions Pct
pre-launch,Rider Economics,20,18.5
pre-launch,Competitors,11,10.2
pre-launch,Regulation,11,10.2
pre-launch,Speed Eta,10,9.3
pre-launch,Support Refund,10,9.3
pre-launch,Ondc Precedent,9,8.3
pre-launch,Zero Commission,9,8.3
pre-launch,Price Doubt,6,5.6
pre-launch,Price Advantage,6,5.6
pre-launch,Word Of Mouth,5,4.6
post-launch,Rider Economics,9,28.1
post-launch,Competitors,5,15.6
post-launch,Price Doubt,3,9.4
post-launch,Zero Commission,3,9.4
post-launch,Disintermediation,2,6.2
post-launch,Price Advantage,2,6.2
post-launch,Ondc Precedent,2,6.2
post-launch,Creator Credibility,2,6.2
post-launch,Word Of Mouth,1,3.1
post-launch,Trust Quality,1,3.1
