Base,Theme,Items mentioning,Share of coded items Pct
"Public discussion (social, relevant)",Price Advantage,41.0,15.5
"Public discussion (social, relevant)",Price Doubt,99.0,37.5
"Public discussion (social, relevant)",Fulfilment Fail,50.0,18.9
"Public discussion (social, relevant)",Support Refund,43.0,16.3
"Public discussion (social, relevant)",Assortment,32.0,12.1
"Public discussion (social, relevant)",Trust Quality,3.0,1.1
"Public discussion (social, relevant)",Competition,29.0,11.0
"Public discussion (social, relevant)",Distribution,20.0,7.6
First-hand Ownly accounts (social),Price Advantage,22.0,22.7
First-hand Ownly accounts (social),Price Doubt,20.0,20.6
First-hand Ownly accounts (social),Fulfilment Fail,48.0,49.5
First-hand Ownly accounts (social),Support Refund,36.0,37.1
First-hand Ownly accounts (social),Assortment,9.0,9.3
First-hand Ownly accounts (social),Trust Quality,3.0,3.1
First-hand Ownly accounts (social),Competition,2.0,2.1
First-hand Ownly accounts (social),Distribution,0.0,0.0
App-store reviews,Price Advantage,3.0,10.3
App-store reviews,Price Doubt,0.0,0.0
App-store reviews,Fulfilment Fail,21.0,72.4
App-store reviews,Support Refund,23.0,79.3
App-store reviews,Assortment,0.0,0.0
App-store reviews,Trust Quality,4.0,13.8
App-store reviews,Competition,0.0,0.0
App-store reviews,Distribution,0.0,0.0
