Respondent ID,Occupation Segment,Holds Membership,Platform,Orders 4wk
R003,Student,Yes,Swiggy,0
R003,Student,Yes,Zomato,8.0
R003,Student,Yes,Ownly,0
R003,Student,Yes,Other,0
R004,Student,Yes,Swiggy,0
R004,Student,Yes,Zomato,8.0
R004,Student,Yes,Ownly,0
R004,Student,Yes,Other,0
R006,Working professional,Yes,Swiggy,2.0
R006,Working professional,Yes,Zomato,1.0
R006,Working professional,Yes,Ownly,0
R006,Working professional,Yes,Other,0
R007,Working professional,Yes,Swiggy,0
R007,Working professional,Yes,Zomato,1.0
R007,Working professional,Yes,Ownly,0
R007,Working professional,Yes,Other,3.0
R010,Working professional,No,Swiggy,0
R010,Working professional,No,Zomato,0
R010,Working professional,No,Ownly,0
R010,Working professional,No,Other,0
R017,Student,Yes,Swiggy,10.0
R017,Student,Yes,Zomato,2.0
R017,Student,Yes,Ownly,0
R017,Student,Yes,Other,0
R023,Working professional,Yes,Swiggy,2.0
R023,Working professional,Yes,Zomato,3.0
R023,Working professional,Yes,Ownly,0
R023,Working professional,Yes,Other,0
R024,Student,Yes,Swiggy,3.0
R024,Student,Yes,Zomato,12.0
R024,Student,Yes,Ownly,0
R024,Student,Yes,Other,0
R035,Student,Yes,Swiggy,0
R035,Student,Yes,Zomato,5.0
R035,Student,Yes,Ownly,0
R035,Student,Yes,Other,0
R037,Student,Yes,Swiggy,17.0
R037,Student,Yes,Zomato,2.0
R037,Student,Yes,Ownly,0
R037,Student,Yes,Other,0
R039,Student,Yes,Swiggy,10.0
R039,Student,Yes,Zomato,0
R039,Student,Yes,Ownly,0
R039,Student,Yes,Other,0
R042,Student,Yes,Swiggy,2.0
R042,Student,Yes,Zomato,0
R042,Student,Yes,Ownly,0
R042,Student,Yes,Other,0
R045,Working professional,No,Swiggy,4.0
R045,Working professional,No,Zomato,0
R045,Working professional,No,Ownly,0
R045,Working professional,No,Other,1.0
R046,Student,No,Swiggy,0
R046,Student,No,Zomato,0
R046,Student,No,Ownly,0
