Month,Documents,Mean Sentiment,Positive,Neutral,Negative,Engagement
2025-04,2,0.167,1,1,0,0.0
2025-06,12,-0.001,3,6,3,1769.0
2025-08,6,0.185,3,3,0,54.0
2025-09,17,0.006,2,13,2,171.0
2025-10,3,0.101,1,1,1,6.0
2025-11,5,0.067,1,4,0,45.0
2025-12,3,-0.314,0,2,1,1.0
2026-01,11,0.273,8,1,2,0.0
2026-02,8,-0.131,2,1,5,2.0
2026-03,33,-0.223,4,16,13,894.0
2026-04,21,-0.042,3,14,4,18.0
2026-05,20,-0.286,1,7,12,8.0
2026-06,23,-0.241,4,10,9,77.0
2026-07,20,-0.179,4,7,9,119.0
2026-08,331,-0.006,68,191,72,64.0
2026-09,46,-0.103,13,15,18,4.0
