Source,Month,Engagement,Sentiment Score,Sentiment Label,Star Rating,Themes,Verbatim
Social,2025-06,1150.0,-0.071,neutral,,Launch Claim Relay; Fee Model Description,"Rapido is officially rolling out Ownly — its zero-commission food delivery platform — to challenge the Swiggy-Zomato duopoly. ... Ownly skips the platform fees, slashes commissions, and pushes for sub-₹250 meals"
YouTube,,731.0,0.0,neutral,,Rider Economics; Word Of Mouth,"Rapido cares about its drivers a lot, saying this after having spoken to multiple rapido bike riders. So they already have trust"
YouTube,,596.0,-0.267,negative,,,We definitely need some competition. Thankfully the market is matured and Rapido doesn’t have to spend a bomb in marketing since people are already quite frustrated with the random charges zomato and swiggy adds. Rapido is also requesting restaurants to have a…
Social,2025-06,560.0,0.367,positive,,Launch Claim Relay; Rapido Ecosystem Advantage,"[retrieval summary — not verbatim] Entrepreneur frames Ownly as a 'commission-free rebellion': zero commission, ₹150 affordable meals, online/offline price parity, tiered ₹10–₹50 delivery charges, restaurant access to customer data; leverages Rapido rider base…"
Social,2026-03,526.0,0.471,positive,,Launch Claim Relay,"With Ownly, we're extending that belief to how India eats. Our approach is centered around: - Transparency - Honest pricing - Zero commission for restaurants ... Bangalore is just the beginning."
YouTube,,343.0,0.0,neutral,,Regulation,It is absolutely sad that Rapido got banned in Karnataka. How they are able to resume soon with the help of the govt. streamlining laws and regulations to such services.
YouTube,,232.0,-0.6,negative,,Regulation; Ondc Precedent,"ondc failed because it was owned by the government. they should have appointed a private board of directors and a CEO to run it, it would have worked."
Social,2026-03,211.0,0.167,positive,,Future Fee Creep Expected; Restaurant Economics Positive,Can zero-commission actually scale? Or is this just customer acquisition pricing that changes once they hit critical mass?
Social,2025-09,171.0,-0.267,negative,,Sustainability Skepticism; Analyst View,"According to Nirmal Bang, Ownly will bring short-term pricing pressure through discounts and aggressive delivery charges. But they see limited long-term impact unless Ownly can scale and secure consistent demand."
YouTube,,146.0,0.0,neutral,,Competitors,"Rapido is likely emulating a model similar to Grab in Malaysia. If done right, they have massive potential to be a disruptor."
YouTube,,140.0,-0.384,negative,,Zero Commission; Assortment,"About time somebody disrupted this duopoly. But taking on experienced, aggressive, and well-funded incumbents isn't so easy. Their likely hit-back to Rapido's move of undercutting them on commissions would be to slash their own commissions and start a price wa…"
YouTube,,125.0,-0.6,negative,,Rider Economics,Correct me if I’m wrong: Ownly’s main challenge is delivery economics—riders earn more per hour from bike taxi than from Ownly food delivery.
YouTube,,92.0,0.0,neutral,,Price Doubt,"This is just promotion as they are new to this business. Once they build customer base, it becomes another zomato and swiggy"
YouTube,,91.0,0.0,neutral,,Disintermediation,To order something now I just order by directly calling the shop and they have their own delivery person 😅😅
Social,2026-03,89.0,-0.383,negative,,Launch Claim Relay,[retrieval summary — not verbatim] Media page: Ownly live across Bengaluru; zero commission; flat customer delivery fee; positioning targets consumer frustration with hidden and layered fees.
YouTube,,80.0,0.0,neutral,,,"In its initial years, Rapido was restricted to advertise in our city Hyderabad, since a top politician had partnership in UBER. I hope such hurdles are not caused  to Rapido now."
YouTube,,50.0,0.333,positive,,Rider Economics,"I stopped using Zomato recently & Swiggy long back. I use only Ownly & I pay good enough tip to the captains, a third of the extra money that I would have paid for the food on Zomato or Swiggy. Also, these captains are too humble and deny the tips. We have to …"
Social,2026-03,49.0,-0.096,neutral,,Launch Claim Relay; Restaurant Economics Positive,Ownly operates on a zero-commission model for restaurants with only a straightforward delivery fee on the consumer; traditional platforms charge commissions that typically ranges between 18% to 30%.
YouTube,,48.0,0.0,neutral,,Regulation,"@yugeswarreddy4008  Yeah. I know. But why ban it? Instead, cant they create laws for regulating the industry?"
Social,2025-11,45.0,0.0,neutral,,Restaurant Economics Positive; Sustainability Skepticism,"a bold, restaurant-first strategy that challenges the way food delivery platforms operate today ... deliver on their promises, or will they fizzle out like so many before them?"
YouTube,,44.0,0.707,positive,,Rider Economics,"Swiggy and Zomato have grown not primarily because of a large network, efficient logistics, or superior customer experience, but largely due to heavy funding. Funding is the main driver behind their dominance. They also seem to resist new entrants in the marke…"
YouTube,,39.0,0.0,neutral,,Rider Economics,"Still rapido drivers instead of asking customers to pay through Rapido's UPI QR, they ask customers to pay to their personal QR and mention that customer has given cash"
YouTube,,36.0,0.5,positive,,Price Advantage,"I unistalled all Food & last minute apps.
And save 3-4 K per month 😊"
Social,2025-08,32.0,0.354,positive,,Launch Claim Relay,"[retrieval summary — not verbatim] Post relays launch claims: zero commission, meals up to 15% cheaper, staple meals under ₹100, full meals capped at ₹150; says move could reshape ecosystem and pressure incumbents' commission structures."
YouTube,,32.0,0.0,neutral,,,Even UPI succeeds because of apps like Paytm and phonepay etc
YouTube,,31.0,0.0,neutral,,,large market is in maharashtra and bikes taxis are banned here.
YouTube,,30.0,-0.333,negative,,Rider Economics; Support Refund,"rapido leaks the customers' phone number and lets the drivers know who complained against them for overcharging, Imagine the safety issue for girls due to this."
YouTube,,29.0,0.245,positive,,Rider Economics; Zero Commission; Competitors; Speed Eta; Support Refund; Word Of Mouth,I would trust Rapido more than Swiggy or Zomato in this aspect. I've had better experiences with Rapido compared to any other similar brands that have been in the industry overall. I'm also seeing a huge backlash from public transports (autos mainly) in cities…
