Restaurant,Platform,Listing Status,Listed Flag
Aanimuthyalu Unlimited,Ownly,Listed,1
Aanimuthyalu Unlimited,Swiggy,Not listed,0
Aanimuthyalu Unlimited,Zomato,Not listed,0
Bawarchi,Ownly,Listed,1
Bawarchi,Swiggy,Listed,1
Bawarchi,Zomato,Listed,1
Cream Stone,Ownly,Listed,1
Cream Stone,Swiggy,Listed,1
Cream Stone,Zomato,Listed,1
Karachi Bakery,Ownly,Listed,1
Karachi Bakery,Swiggy,Listed,1
Karachi Bakery,Zomato,Listed,1
Mehfil,Ownly,Listed,1
Mehfil,Swiggy,Listed,1
Mehfil,Zomato,Listed,1
Murgan Tiffins,Ownly,Listed,1
Murgan Tiffins,Swiggy,Listed,1
Murgan Tiffins,Zomato,Listed,1
Paradise Biryani,Ownly,Listed,1
Paradise Biryani,Swiggy,Listed,1
Paradise Biryani,Zomato,Listed,1
Pizza Hut,Ownly,Not listed,0
Pizza Hut,Swiggy,Listed,1
Pizza Hut,Zomato,Listed,1
Shah Ghouse,Ownly,Listed,1
Shah Ghouse,Swiggy,Listed,1
Shah Ghouse,Zomato,Listed,1
Wendy's Burgers,Ownly,Listed,1
Wendy's Burgers,Swiggy,Listed,1
Wendy's Burgers,Zomato,Listed,1
