Target,Base Pct,Feature,K,N,Pct,CI Low,CI High,Lift,Lift Direction
Will give up usual restaurants for ₹30,35.0,Multi-homes (2+ apps),11,23,47.8,29.2,67.0,1.37,Above base
Will give up usual restaurants for ₹30,35.0,Low switch bar (≤₹30),8,17,47.1,26.2,69.0,1.35,Above base
Will give up usual restaurants for ₹30,35.0,Working professional,3,7,42.9,15.8,75.0,1.23,Above base
Will give up usual restaurants for ₹30,35.0,Aware of Ownly,7,17,41.2,21.6,64.0,1.18,Above base
Will give up usual restaurants for ₹30,35.0,Holds a membership,12,33,36.4,22.2,53.4,1.04,At base
Will give up usual restaurants for ₹30,35.0,Student,11,32,34.4,20.4,51.7,0.98,At base
Will give up usual restaurants for ₹30,35.0,Doubts price durability,11,35,31.4,18.6,48.0,0.9,Below base
Will give up usual restaurants for ₹30,35.0,High switch bar (>₹30),5,16,31.2,14.2,55.6,0.89,Below base
Will give up usual restaurants for ₹30,35.0,Orders 5+ / 4wk,8,27,29.6,15.9,48.5,0.85,Below base
Will give up usual restaurants for ₹30,35.0,Uses Rapido,7,24,29.2,14.9,49.2,0.83,Below base
Will give up usual restaurants for ₹30,35.0,No membership,2,7,28.6,8.2,64.1,0.82,Below base
Will give up usual restaurants for ₹30,35.0,Single-app user,3,17,17.6,6.2,41.0,0.5,Below base
Aware of Ownly,42.5,Aware of Ownly,17,17,100.0,81.6,100.0,2.35,Above base
Aware of Ownly,42.5,Low switch bar (≤₹30),10,17,58.8,36.0,78.4,1.38,Above base
Aware of Ownly,42.5,Multi-homes (2+ apps),12,23,52.2,33.0,70.8,1.23,Above base
Aware of Ownly,42.5,Orders 5+ / 4wk,14,27,51.9,34.0,69.3,1.22,Above base
Aware of Ownly,42.5,Student,14,32,43.8,28.2,60.7,1.03,At base
Aware of Ownly,42.5,No membership,3,7,42.9,15.8,75.0,1.01,At base
Aware of Ownly,42.5,Doubts price durability,15,35,42.9,28.0,59.1,1.01,At base
Aware of Ownly,42.5,Holds a membership,14,33,42.4,27.2,59.2,1.0,At base
Aware of Ownly,42.5,Uses Rapido,8,24,33.3,18.0,53.3,0.78,Below base
Aware of Ownly,42.5,Single-app user,5,17,29.4,13.3,53.1,0.69,Below base
Aware of Ownly,42.5,Working professional,2,7,28.6,8.2,64.1,0.67,Below base
Aware of Ownly,42.5,High switch bar (>₹30),4,16,25.0,10.2,49.5,0.59,Below base
