resp_id,timestamp,city,area,city_other,age_band,occupation,memberships,rapido_freq,ordered_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,last_people,bill_fairness,tradeoff_eta,tradeoff_rel,tradeoff_rest,switch_savings,prop_P_intent,prop_Q_intent,prop_forced,prop_reason,repeat_no_promo,durability_doubt,rapido_food_seen,ownly_status,ownly_trigger,ownly_heard_where,not_opened_reason,stopped_ordering,first_order_when,prev_4wk_orders,counterfactual,ownly_loss_feel,ownly_less_reason,ownly_change,prop_P_intent_n,prop_Q_intent_n,repeat_no_promo_n,durability_doubt_n,switch_savings_rs,switch_never,switch_dk,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,age_routed_out,age_eligible,age_band_ambiguous,in_catchment,is_gachibowli_proper,has_membership,n_memberships,ownly_stage,ownly_aware,ownly_opened,ownly_says_ordered,n_platforms_used,multihoming,total_orders_4wk,recent_orderer,ownly_order_conflict,ownly_lapsed_consistent,n_ownly_usable,ownly_recent_status,amount_flag,amount_pp,exclusion_reason
R008,2026-09-17 10:18:20.328,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R009,2026-09-17 10:18:58.724,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R011,2026-09-17 10:22:20.605,Another city,,Another Indian city,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R012,2026-09-17 10:24:01.652,Bengaluru,Another part of Bengaluru,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R014,2026-09-17 10:24:39.751,Hyderabad,Another part of Hyderabad,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R015,2026-09-17 10:25:41.595,Another city,,Another Indian city,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R016,2026-09-17 10:26:21.010,Another city,,Delhi NCR,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R018,2026-09-17 10:29:09.010,Another city,,Chennai,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R019,2026-09-17 10:36:25.416,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R026,2026-09-17 10:51:32.688,Hyderabad,Financial District / Nanakramguda,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R032,2026-09-17 11:11:48.689,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R033,2026-09-17 11:12:11.722,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R036,2026-09-17 11:17:46.562,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R038,2026-09-17 11:27:29.359,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R040,2026-09-17 11:31:10.048,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R043,2026-09-17 11:39:05.463,Hyderabad,Gachibowli,,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R044,2026-09-17 11:44:57.433,Hyderabad,Serilingampally / Nallagandla / Tellapur,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R047,2026-09-17 11:57:02.914,Bengaluru,Koramangala / HSR Layout / BTM Layout,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R051,2026-09-17 12:37:49.391,Another city,,Another Indian city,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R058,2026-09-17 14:15:34.122,Hyderabad,Another part of Hyderabad,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R059,2026-09-17 14:20:29.196,Another city,,Another Indian city,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R062,2026-09-17 16:16:29.046,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R064,2026-09-17 17:10:12.219,Hyderabad,Another part of Hyderabad,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R072,2026-09-18 15:20:11.906,Another city,,Another Indian city,Over 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,False,False,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
R075,2026-09-18 15:43:55.546,Hyderabad,Gachibowli,,Under 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,True,False,False,True,True,False,0,,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,SCREENED OUT by instrument: age band 'Under 20' or 'Over 35'
