resp_id,city,area,age_band,occupation,in_catchment,has_membership,n_memberships,multihoming,n_platforms_used,total_orders_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,amount_pp,bill_fairness,rapido_freq,rapido_food_seen,ownly_stage,ownly_aware,ownly_opened,ownly_ordered,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,switch_savings_rs,switch_never,switch_dk,prop_P_intent_n,prop_Q_intent_n,prop_forced,repeat_no_promo_n,durability_doubt_n,pop_HYD_ELIGIBLE,pop_HYD_CATCHMENT,pop_BLR_ELIGIBLE,pop_OTHER
R001,Bengaluru,Another part of Bengaluru,25–29,Working full-time,False,True,1,False,1.0,56.0,0.0,56.0,0.0,0.0,Zomato,67.0,,"Yes, it felt fair",,,2.0,True,True,False,True,True,True,100.0,False,False,1.0,1.0,I genuinely can't choose between them,1.0,4.0,False,False,True,False
R002,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,2,False,1.0,8.0,0.0,8.0,0.0,0.0,Zomato,500.0,,"No, the extra charges on top were too much",,,2.0,True,True,False,True,False,False,75.0,False,False,5.0,4.0,I genuinely can't choose between them,3.0,4.0,True,True,False,False
R003,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,2,False,1.0,8.0,0.0,8.0,0.0,0.0,Zomato,1300.0,,"No, the food itself was overpriced",,,3.0,True,True,True,True,True,False,50.0,False,False,5.0,4.0,Service P,2.0,4.0,True,True,False,False
R004,Another city,Another Indian city,20–24,Studying and working (internship / part-time),False,False,0,True,3.0,7.0,2.0,2.0,3.0,0.0,Toing,239.0,,"No, the extra charges on top were too much",,,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R005,Hyderabad,Gachibowli,20–24,Working full-time,True,True,1,True,2.0,3.0,2.0,1.0,0.0,0.0,Swiggy,700.0,,"No, the extra charges on top were too much",,,0.0,False,False,False,True,True,True,10.0,False,False,5.0,5.0,Service P,2.0,4.0,True,True,False,False
R006,Hyderabad,Gachibowli,20–24,Working full-time,True,True,1,True,2.0,4.0,0.0,1.0,0.0,3.0,Directly from the restaurant,700.0,,"No, the food itself was overpriced",1–3 times,No,0.0,False,False,False,True,True,True,50.0,False,False,4.0,2.0,Service P,3.0,3.0,True,True,False,False
R009,Hyderabad,Manikonda,30–35,Working full-time,True,False,0,False,,,,,,,,,,,Never,No,0.0,False,False,False,True,True,False,100.0,False,False,3.0,3.0,I genuinely can't choose between them,3.0,5.0,True,True,False,False
R012,Bengaluru,Hebbal / Yelahanka / North Bengaluru,30–35,Working full-time,False,False,0,False,,,,,,,,,,,Never,I don't use the Rapido app,1.0,True,False,False,True,True,False,,True,False,5.0,3.0,Service P,4.0,5.0,False,False,True,False
R016,Hyderabad,Serilingampally / Nallagandla / Tellapur,20–24,Student (undergraduate),True,True,2,True,2.0,12.0,10.0,2.0,0.0,0.0,Swiggy,1867.0,,"Yes, it felt fair",Never,No,2.0,True,True,False,True,True,True,,True,False,4.0,3.0,Service P,3.0,4.0,True,True,False,False
R019,Hyderabad,Another part of Hyderabad,30–35,Working full-time,False,False,0,False,,,,,,,,,,,Never,No,0.0,False,False,False,False,True,True,10.0,False,False,1.0,1.0,Service Q,1.0,1.0,True,False,False,False
R020,Bengaluru,Electronic City / Bommanahalli,20–24,Working full-time,False,False,0,True,2.0,5.0,3.0,0.0,2.0,0.0,Swiggy,250.0,,"Yes, it felt fair",1–3 times,Yes,3.0,True,True,True,False,False,True,10.0,False,False,4.0,2.0,Service P,3.0,5.0,False,False,True,False
R021,Bengaluru,Electronic City / Bommanahalli,20–24,Working full-time,False,True,2,True,4.0,11.0,2.0,5.0,1.0,3.0,Zomato,1317.0,,"No, the food itself was overpriced",1–3 times,Yes,3.0,True,True,True,True,False,True,100.0,False,False,4.0,4.0,Service P,2.0,5.0,False,False,True,False
R022,Hyderabad,Gachibowli,25–29,Working full-time,True,True,2,True,2.0,5.0,2.0,3.0,0.0,0.0,Zomato,1500.0,,"Yes, it felt fair",1–3 times,Not sure,0.0,False,False,False,True,False,False,75.0,False,False,5.0,5.0,I genuinely can't choose between them,4.0,4.0,True,True,False,False
R023,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,2,True,2.0,15.0,3.0,12.0,0.0,0.0,Zomato,220.0,,"Yes, it felt fair",1–3 times,No,0.0,False,False,False,True,True,False,20.0,False,False,4.0,5.0,Service Q,3.0,5.0,True,True,False,False
R024,Bengaluru,Whitefield / Marathahalli / Bellandur / Sarjapur Road,20–24,Studying and working (internship / part-time),False,True,1,True,2.0,7.0,5.0,0.0,0.0,2.0,Swiggy,300.0,,"No, the extra charges on top were too much",Several times a week,Not sure,1.0,True,False,False,True,True,False,50.0,False,False,3.0,3.0,Service P,4.0,4.0,False,False,True,False
R026,Another city,Another Indian city,20–24,Student (postgraduate / PhD),False,True,2,True,2.0,2.0,1.0,0.0,0.0,1.0,Swiggy,180.0,,"Yes, it felt fair",,I don't use the Rapido app,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R027,Bengaluru,Hebbal / Yelahanka / North Bengaluru,20–24,Studying and working (internship / part-time),False,True,1,False,1.0,2.0,2.0,0.0,0.0,0.0,Swiggy,460.0,,I didn't really look at the breakdown,1–3 times,No,2.0,True,True,False,False,False,True,10.0,False,False,3.0,3.0,I genuinely can't choose between them,3.0,3.0,False,False,True,False
R028,Another city,Another Indian city,20–24,Student (undergraduate),False,True,1,False,1.0,3.0,0.0,3.0,0.0,0.0,Zomato,749.0,,"Yes, it felt fair",,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R029,Another city,Another Indian city,20–24,Working full-time,False,True,1,True,2.0,6.0,5.0,1.0,0.0,0.0,Swiggy,,,"Yes, it felt fair",,No,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R030,Another city,Chennai,20–24,Working full-time,False,False,0,True,2.0,3.0,0.0,1.0,0.0,2.0,Zomato,264.0,,"No, the extra charges on top were too much",,No,0.0,False,False,False,,,,,False,False,,,,,,False,False,False,True
R033,Another city,Another Indian city,20–24,Student (undergraduate),False,True,2,True,2.0,25.0,5.0,20.0,0.0,0.0,Zomato,212.0,,"Yes, it felt fair",,No,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R034,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,2,False,1.0,5.0,0.0,5.0,0.0,0.0,Zomato,535.0,,"Yes, it felt fair",Several times a week,Not sure,0.0,False,False,False,True,True,False,30.0,False,False,4.0,5.0,Service Q,4.0,4.0,True,True,False,False
R036,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,2.0,19.0,17.0,2.0,0.0,0.0,Swiggy,153.0,,"Yes, it felt fair",Never,Yes,2.0,True,True,False,True,False,True,10.0,False,False,4.0,4.0,Service P,3.0,4.0,True,True,False,False
R038,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,True,1,False,1.0,10.0,10.0,0.0,0.0,0.0,Swiggy,1000.0,,"No, the extra charges on top were too much",1–3 times,No,0.0,False,False,False,True,True,False,100.0,False,False,4.0,4.0,Service P,3.0,4.0,True,True,False,False
R040,Another city,Another Indian city,20–24,Looking for a job,False,True,1,False,1.0,4.0,4.0,0.0,0.0,0.0,Swiggy,148.0,,"Yes, it felt fair",,I don't use the Rapido app,,False,False,False,,,,,False,False,,,,,,False,False,False,True
R041,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,1,False,1.0,2.0,2.0,0.0,0.0,0.0,Swiggy,356.0,,I didn't really look at the breakdown,1–3 times,No,0.0,False,False,False,True,True,False,75.0,False,False,4.0,4.0,Service P,2.0,5.0,True,True,False,False
R044,Hyderabad,Gachibowli,20–24,Working full-time,True,False,0,True,2.0,5.0,4.0,0.0,0.0,1.0,Swiggy,1000.0,,"No, the extra charges on top were too much",Several times a week,No,0.0,False,False,False,True,True,False,,True,False,2.0,4.0,Service Q,1.0,4.0,True,True,False,False
R045,Hyderabad,Gachibowli,20–24,Student (postgraduate / PhD),True,False,0,False,,,,,,,,,,,1–3 times,No,0.0,False,False,False,True,True,True,50.0,False,False,5.0,4.0,Service P,4.0,4.0,True,True,False,False
R047,Hyderabad,Gachibowli,20–24,Student (undergraduate),True,True,2,True,3.0,9.0,6.0,2.0,0.0,1.0,Swiggy,543.0,,"Yes, it felt fair",1–3 times,Not sure,3.0,True,True,True,True,True,False,30.0,False,False,4.0,4.0,I genuinely can't choose between them,3.0,5.0,True,True,False,False
R048,Hyderabad,Another part of Hyderabad,25–29,Working full-time,False,True,1,False,,,,,,,,,,,About once a week,Yes,1.0,True,False,False,True,True,False,,False,True,5.0,4.0,Service P,4.0,5.0,True,False,False,False
