theme_family,comments,share_of_coded_pct,total_likes_on_those_comments,base_n_coded,base_n_retrieved,measure_definition
RIDER_ECONOMICS,29,27.6,1167,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
COMPETITORS,16,15.2,188,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
ZERO_COMMISSION,12,11.4,198,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
REGULATION,11,10.5,672,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
ONDC_PRECEDENT,11,10.5,265,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
SPEED_ETA,10,9.5,57,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
SUPPORT_REFUND,10,9.5,110,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
PRICE_DOUBT,9,8.6,113,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
PRICE_ADVANTAGE,8,7.6,59,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
WORD_OF_MOUTH,6,5.7,787,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
DISINTERMEDIATION,5,4.8,107,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
ASSORTMENT,4,3.8,141,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
TRUST_QUALITY,4,3.8,12,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
RELIABILITY,3,2.9,9,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
CREATOR_CREDIBILITY,2,1.9,19,105,275,"share of coded comments mentioning this theme - NOT a failure rate, NOT population incidence"
