resp_id,timestamp,city,area,city_other,age_band,occupation,memberships,rapido_freq,ordered_4wk,n_swiggy,n_zomato,n_ownly,n_other,last_app,last_amount,last_people,bill_fairness,tradeoff_eta,tradeoff_rel,tradeoff_rest,switch_savings,prop_P_intent,prop_Q_intent,prop_forced,prop_reason,repeat_no_promo,durability_doubt,rapido_food_seen,ownly_status,ownly_trigger,ownly_heard_where,not_opened_reason,stopped_ordering,first_order_when,prev_4wk_orders,counterfactual,ownly_loss_feel,ownly_less_reason,ownly_change,prop_P_intent_n,prop_Q_intent_n,repeat_no_promo_n,durability_doubt_n,switch_savings_rs,switch_never,switch_dk,eta_chose_cheap,rel_chose_cheap,rest_chose_cheap,age_routed_out,age_eligible,age_band_ambiguous,in_catchment,is_gachibowli_proper,has_membership,n_memberships,ownly_stage,ownly_aware,ownly_opened,ownly_says_ordered,n_platforms_used,multihoming,total_orders_4wk,recent_orderer,ownly_order_conflict,ownly_lapsed_consistent,n_ownly_usable,ownly_recent_status,amount_flag,amount_pp,exclusion_reason,pop_HYD_ELIGIBLE,pop_HYD_CATCHMENT,pop_HYD_GACHIBOWLI,pop_HYD_RECENT_ORDERER,pop_BLR_ELIGIBLE,pop_OTHER
R002,2026-09-16 20:55:34.711,Bengaluru,Another part of Bengaluru,,25–29,Working full-time,Zomato Gold,,Yes,0.0,56.0,0.0,0.0,Zomato,67.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹100 or more,Definitely not,Definitely not,I genuinely can't choose between them,Both are useless. Both of them charges total ₹200+. Fair total price is ₹50 to ₹130 and is healthy food with good quantity.,Definitely not,Agree,,"I opened or browsed it, but didn't order",,,,Prices weren't lower than my usual app,,,,,,,1.0,1.0,1.0,4.0,100.0,False,False,True,True,True,False,True,False,False,False,True,1,2.0,True,True,False,1.0,False,56.0,True,False,False,0.0,Never ordered on Ownly,,,,False,False,False,False,True,False
R003,2026-09-16 23:13:48.648,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",,Yes,0.0,8.0,0.0,0.0,Zomato,500.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹260 total, late by 15+ minutes in about 1 of every 10 orders","₹260 total, has most of your usual restaurants",₹75,Definitely,Probably,I genuinely can't choose between them,Order delivery time matters to me more than the money,Not sure,Agree,,"I opened or browsed it, but didn't order",,,,I was just looking around,,,,,,,5.0,4.0,3.0,4.0,75.0,False,False,True,False,False,False,True,False,True,True,True,1,2.0,True,True,False,1.0,False,8.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R004,2026-09-16 23:21:55.364,Hyderabad,Gachibowli,,20–24,Student (postgraduate / PhD),"Swiggy One (any plan), Zomato Gold",,Yes,0.0,8.0,0.0,0.0,Zomato,1300.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹50,Definitely,Probably,Service P,If there is 50 rs difference I would wait for 15 more minutes,Probably not,Agree,,I've ordered on Ownly,,,,,In the last 4 weeks,0.0,Ordered the same on Swiggy or Zomato,Somewhat disappointed,,"More reliable, on-time delivery",5.0,4.0,2.0,4.0,50.0,False,False,True,True,False,False,True,False,True,True,True,1,3.0,True,True,True,1.0,False,8.0,True,True,False,,CONFLICTING - recent count unavailable,,,,True,True,True,True,False,False
R005,2026-09-16 23:32:34.661,Another city,,Another Indian city,20–24,Studying and working (internship / part-time),,,Yes,2.0,2.0,3.0,0.0,Toing,239.0,,"No, the extra charges on top were too much",,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False,True,False,False,False,False,0,,False,False,False,3.0,True,7.0,True,False,False,3.0,Never ordered on Ownly,,,,False,False,False,False,False,True
R006,2026-09-17 00:35:33.026,Hyderabad,Gachibowli,,20–24,Working full-time,Swiggy One (any plan),,Yes,2.0,1.0,0.0,0.0,Swiggy,700.0,,"No, the extra charges on top were too much","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Definitely,Definitely,Service P,Price,Probably not,Agree,,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,5.0,5.0,2.0,4.0,10.0,False,False,True,True,True,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,3.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R007,2026-09-17 04:58:33.412,Hyderabad,Gachibowli,,20–24,Working full-time,Zomato Gold,1–3 times,Yes,0.0,1.0,0.0,3.0,Directly from the restaurant,700.0,,"No, the food itself was overpriced","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹50,Probably,Probably not,Service P,Money & time,Not sure,Neither,No,I hadn't heard of Ownly,A friend telling me it works well,,,,,,,,,,4.0,2.0,3.0,3.0,50.0,False,False,True,True,True,False,True,False,True,True,True,1,0.0,False,False,False,2.0,True,4.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,True,True,False,False
R010,2026-09-17 10:22:20.516,Hyderabad,Manikonda,,30–35,Working full-time,,Never,No,,,,,,,,,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants",₹100 or more,Not sure,Not sure,I genuinely can't choose between them,,Not sure,Strongly agree,No,I hadn't heard of Ownly,Seeing it's cheaper than Swiggy/Zomato for the same order,,,,,,,,,,3.0,3.0,3.0,5.0,100.0,False,False,True,True,False,False,True,False,True,False,False,0,0.0,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,True,False,False,False,False
R013,2026-09-17 10:24:23.987,Bengaluru,Hebbal / Yelahanka / North Bengaluru,,30–35,Working full-time,,Never,No,,,,,,,,,"₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹260 total, has most of your usual restaurants","No amount, price alone wouldn't make me switch",Definitely,Not sure,Service P,Smaller bills ,Probably,Strongly agree,I don't use the Rapido app,"I'd heard of it, but never opened it",,Instagram / YouTube,Just haven't got around to it,,,,,,,,5.0,3.0,4.0,5.0,,True,False,True,True,False,False,True,False,False,False,False,0,1.0,True,False,False,,False,,False,False,False,,Not asked / not applicable,,,,False,False,False,False,True,False
R017,2026-09-17 10:28:14.750,Hyderabad,Serilingampally / Nallagandla / Tellapur,,20–24,Student (undergraduate),"Swiggy One (any plan), Zomato Gold",Never,Yes,10.0,2.0,0.0,0.0,Swiggy,1867.0,,"Yes, it felt fair","₹230 total, arrives in 45 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants","No amount, price alone wouldn't make me switch",Probably,Not sure,Service P,,Not sure,Agree,No,"I opened or browsed it, but didn't order",,,,I was just looking around,,,,,,,4.0,3.0,3.0,4.0,,True,False,True,True,True,False,True,False,True,False,True,1,2.0,True,True,False,2.0,True,12.0,True,False,False,0.0,Never ordered on Ownly,,,,True,True,False,True,False,False
R020,2026-09-17 10:36:28.155,Hyderabad,Another part of Hyderabad,,30–35,Working full-time,,Never,No,,,,,,,,,"₹260 total, arrives in 30 minutes","₹230 total, late by 15+ minutes in about 3 of every 10 orders","₹230 total, has only a few of your usual restaurants",₹10,Definitely not,Definitely not,Service Q,,Definitely not,Strongly disagree,No,I hadn't heard of Ownly,Paying by cash on delivery or meal card (Pluxee / Zeta),,,,,,,,,,1.0,1.0,1.0,1.0,10.0,False,False,False,True,True,False,True,False,False,False,False,0,0.0,False,False,False,,False,,False,False,False,,Not asked / not applicable,,,,True,False,False,False,False,False
